,Static_RMSE,Rolling_RMSE,Kalman_RMSE,Rolling_beats_Static,Kalman_beats_Static
RELIANCE.NS,0.013253918819817719,0.013226990700070758,0.013202159719501672,True,True
TCS.NS,0.013080504187535858,0.013160511791826434,0.013005002168234381,False,True
HDFCBANK.NS,0.009754110399322238,0.009842873492868,0.009632098423204163,False,True
INFY.NS,0.014457314602183564,0.014291752918101207,0.014385329116650584,True,True
ICICIBANK.NS,0.013889023045760928,0.013809572473225638,0.013763422720528,True,True
HINDUNILVR.NS,0.012850902475847007,0.012424795318443841,0.012763865311968955,True,True
ITC.NS,0.01385041329388186,0.013480263502046565,0.013770360855199776,True,True
LT.NS,0.012483994204561847,0.012500053820629886,0.012399919973675153,False,True
SBIN.NS,0.016081261183450487,0.01624009396525221,0.015997344002792676,False,True
BHARTIARTL.NS,0.016938526184968133,0.016815384323736648,0.016899717570326777,True,True
MARUTI.NS,0.013891744951440285,0.013960028373583936,0.013790244501678945,False,True
SUNPHARMA.NS,0.01700655842481847,0.016412606164465715,0.016952587275149398,True,True
