,dm_statistic,p_value,significant_at_5pct,n_obs
RELIANCE.NS,-2.181091934145569,0.02917661731323795,True,2457
TCS.NS,-2.114408886432994,0.034480359323686205,True,2457
HDFCBANK.NS,-2.8045502612103186,0.005038683107472464,True,2457
INFY.NS,-1.798066227021658,0.07216651343596303,False,2457
ICICIBANK.NS,-3.9118079815529923,9.160773685290557e-05,True,2457
HINDUNILVR.NS,-1.5032955952526532,0.1327628354836774,False,2457
ITC.NS,-1.7753882119847462,0.07583380905566783,False,2457
LT.NS,-2.519568043472999,0.011749892789032046,True,2457
SBIN.NS,-1.8147310856935117,0.0695652454515916,False,2457
BHARTIARTL.NS,-1.687802135491311,0.09144921754208868,False,2457
MARUTI.NS,-2.3346170134990434,0.01956343695907159,True,2457
SUNPHARMA.NS,-1.9301966564312527,0.05358247569236241,False,2457
